uid,title,description,url,audio_url,image_url,collection,vendor,vendor_identifier,notes
cpb-aacip_515-wd3pv6c81h,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_500-xw47p8vp40,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_151-b56d21s06x,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_507-g44hm5393h,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-515mm0rp,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-26m0crdm,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-07gqns52,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-46d25g71,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-22v41xwg,12345,12345,12345,12345,12345,12345,12345,12345,12345
cpb-aacip_15-w66930p769,12345,12345,12345,12345,12345,12345,12345,12345,12345 
