uid,title,description,url,audio_url,collection,vendor,vendor_identifier,notes
000314_TonyHendra_FatherJoe_POD,Father Joe,Tony Hendra,,https://themoth.box.com/s/c63og7z55kdrwa2px8qbrea8posfn3y5,audio-library-for-web,pop_up_archive,50228,
000328_JoyceMaynard_BigHouse_MRH1307,Big House,Joyce Maynard,,https://themoth.box.com/s/9qmo20cjnlh4df9hesnxefvwk83plfrc,audio-library-for-web,pop_up_archive,50229,
000425_SheriHolman_BetweenTheLines_MRH1420,Between The Lines,Sheri Holman,,https://themoth.box.com/s/z32f30wzc0sdtp8iicjpq1ufu8v92uke,audio-library-for-web,pop_up_archive,50230,
000425_WandaBullard_TheSmallTownPrisoner_MRH1005,The Small Town Prisoner,Wanda Bullard,,https://themoth.box.com/s/5l9oc71hw9tgt601sgbx2evip8lvadhv,audio-library-for-web,pop_up_archive,50231,
000628_TedConover_SingSingTattoo_MRH1103,Sing Sing Tattoo,Ted Conover,,https://themoth.box.com/s/bcttfko2u67hzgmsd50ksw2nvfc5szyf,audio-library-for-web,pop_up_archive,50232,
000927_NancyFinton_INeverSawHisFace_MRH1504,I Never Saw His Face,Nancy Finton,,https://themoth.box.com/s/hgdileej1dixenxnoaskqndl7feoxgus,audio-library-for-web,pop_up_archive,50233,
010501_ChuckMcDew_WhyTheOthersDied_MRH1420,Why The Others Died,Chuck McDew,,https://themoth.box.com/s/2wnrnlkg9he3b1erdmyxyrsozdotx8z7,audio-library-for-web,pop_up_archive,50234,
010605_AndrewSolomon_TheRefugees_MRH1404,The Refugees,Andrew Solomon,,https://themoth.box.com/s/12yhiacs9ei4xpo5e4wcj6guct6e0spa,audio-library-for-web,pop_up_archive,50235,
010605_LaurenSlater_FireTestForLove_POD,Fire Test For Love,Lauren Slater,,https://themoth.box.com/s/ybxlbg91pq0izjistfz79aljlu3dhld5,audio-library-for-web,pop_up_archive,50236,
010605_LeeStringer_HigherPowers_POD,Higher Powers,Lee Stringer,,https://themoth.box.com/s/8m5w6iexz5rmxzw66oby4kn147hdk5t9,audio-library-for-web,pop_up_archive,50238,
010605_MarthaManning_WhatCantBeFixed_MRH1304,What Can't Be Fixed,Martha Manning,,https://themoth.box.com/s/yupig0oyevsriclcc7bnxp70neyao2y0,audio-library-for-web,pop_up_archive,50239,
010626_CarolineKaplan_MoxieInCannes_POD,Moxie In Cannes,Caroline Kaplan,,https://themoth.box.com/s/5q43se4w6k75d6fuunwi2gup3q59w8zb,audio-library-for-web,pop_up_archive,50240,
011024_MarkKatz_PresidentClintonAndAnEggTimer_MRH1325,President Clinton And An Egg Timer,Mark Katz,,https://themoth.box.com/s/eerlf705xesv0s3vms92nmtk1n3fp4s9,audio-library-for-web,pop_up_archive,50242,
011102_BokaraLegendre_MummyWasAWildGameHunter_MRH1010,Mummy Was A Wild Game Hunter,Bokara Legendre,,https://themoth.box.com/s/yhu29jl3lio7et7ceptm5k3ij7gr2x53,audio-library-for-web,pop_up_archive,50241,
011102_SevanneKassarjianMartin_BedtimeInIran_POD,Bedtime In Iran,Sevanne Kassarjian Martin,,https://themoth.box.com/s/emitgpry9utqj6az0s2zqfdzg2s0py2l,audio-library-for-web,pop_up_archive,50243,
020220_AndreGregory_TheFirstTime_POD372,The First Time,Andre Gregory,,https://themoth.box.com/s/2ux5mlz6mlcegnbuhjpz09j0poejc4x6,audio-library-for-web,pop_up_archive,50244,
020414_DinaPearlman_30DaysOffCrackAndCute_POD,30 Days Off Crack And Cute,Dina Pearlman,,https://themoth.box.com/s/zd7v7ckrrlhtct8puywv96563pqtvogs,audio-library-for-web,pop_up_archive,50245,
020414_JoeJackson_TheAdmiralDrake_POD,The Admiral Drake,Joe Jackson,,https://themoth.box.com/s/cr9pzu0e9yu3cmgbdfdpsanrgoapl1ne,audio-library-for-web,pop_up_archive,50246,
020414_KimyaDawson_MariahAndTheHauntedForest_POD,Mariah And The Haunted Forest,Kimya Dawson,,https://themoth.box.com/s/tbh179tpy9m01kh3xrd2tdcftgxglh3u,audio-library-for-web,pop_up_archive,50247,
020414_SuzanneVega_StageFright_MRH1310,Stage Fright,Suzanne Vega,,https://themoth.box.com/s/g7iqd58ya2qf4ze1u1fpa9bwihelxh2x,audio-library-for-web,pop_up_archive,50249,
020414_ThomasDolby_NeverNeverLand,Never Never Land,Thomas Dolby,,https://themoth.box.com/s/6kjs0eubf5k93v33fk5csqexpk0nuo8i,audio-library-for-web,pop_up_archive,50250,
020423_DinaPearlman_StorySLAMFavorites_POD276,StorySLAM Favorites,Dina Pearlman,,https://themoth.box.com/s/cnecs2ercrqb04fp5z4ytgpe4ex9y8gn,audio-library-for-web,pop_up_archive,50251,
020519_AvaKayJones_TheVoodooPriestessOfFootball_MRH1322,The Voodoo Priestess Of Football,Ava Kay Jones,,https://themoth.box.com/s/ox2xmserpelj1i8q2ykyfrwav74xv3qa,audio-library-for-web,pop_up_archive,50252,
020630_MegWolitzer_FirstLoveLongIslandCA1975_POD,"First Love Long Island, CA 1975",Meg Wolitzer,,https://themoth.box.com/s/lts3aoga47ghosygaafgnhonmjuacifl,audio-library-for-web,pop_up_archive,50253,
021022_JoyceMaynard_SomethingIsABreast_POD,Something Is A Breast,Joyce Maynard,,https://themoth.box.com/s/vvpq2cplmp19yhnl2wx23sytydj4couc,audio-library-for-web,pop_up_archive,50254,
021023_BobZellner_PoitierAndBrandoMississippi1964_POD,"Poitier And Brando, Mississippi 1964",Bob Zellner,,https://themoth.box.com/s/wdvrbc2gih3tp7plhbqgdao6xfyq2lzw,audio-library-for-web,pop_up_archive,50255,
021023_MarvinGelfand_LibertyCard_POD,Liberty Card,Marvin Gelfand,,https://themoth.box.com/s/5qex1f9xg4mxoh82rc26r1oqkjpv04qr,audio-library-for-web,pop_up_archive,50256,
021208_TamaraJenkins_Aloha_MRH1325,Aloha,Tamara Jenkins,,https://themoth.box.com/s/tga6onvebk6gpfk58olpbz18evst0882,audio-library-for-web,pop_up_archive,50257,
030128_EthanHawke_OdeToStepfather_POD348,Ode To Stepfather,Ethan Hawke,,https://themoth.box.com/s/dgpfdjb52u08k0f57q3ny2onsdcdv2ou,audio-library-for-web,pop_up_archive,50258,
030128_JessiKlein_BreakingUpInTheAgeOfGoogle_POD,Breaking Up In The Age Of Google,Jessi Klein,,https://themoth.box.com/s/tav25lfc55bh2p7fs6vqhzuckz05pkhj,audio-library-for-web,pop_up_archive,50259,
030223_JefferyRudell_TheUndertakersDaughter_POD,The Undertaker's Daughter,Jeffery Rudell,,https://themoth.box.com/s/5w4j5f178elnps1wjbfh2dbwcphw8ljk,audio-library-for-web,pop_up_archive,50260,
030228_AnthonyGriffith_TheBestOfTimesTheWorstOfTimes_MRH901,"The Best Of Times, The Worst Of Times",Anthony Griffith,,https://themoth.box.com/s/bpf8e3vb4z1ewhc3h0retpnoku6c95m8,audio-library-for-web,pop_up_archive,50261,
030228_BillBurr_ADollsHouse_POD,A Doll's House,Bill Burr,,https://themoth.box.com/s/nnfgqdx0oiw0v3awos45ao82ynl7qx6y,audio-library-for-web,pop_up_archive,50262,
030620_ShermanPowell_PickpocketSchool_MRH1001,Pickpocket School,Sherman Powell,,https://themoth.box.com/s/b4uvpfvs4crzhv0ejmz9uqacvzsycpcm,audio-library-for-web,pop_up_archive,50263,
030620_PatriciaZimmerman_MyJourney_POD,My Journey,Patricia Zimmerman,,https://themoth.box.com/s/ng541ysvj55p7c8irmqmrc365hy0101v,audio-library-for-web,pop_up_archive,50264,
030915_MatthewMcGough_MyFirstDayAtTheYankees_MRH901,My First Day At The Yankees,Matthew McGough,,https://themoth.box.com/s/3yacc98ryxqqvzz7q0ktivgb7uklb3lp,audio-library-for-web,pop_up_archive,50265,
031022_DaveMowers_BurningOfAtlanta_POD,Burning Of Atlanta,Dave Mowers,,https://themoth.box.com/s/t3o4mjj6o5jbgp706jc1darq9pc8npzi,audio-library-for-web,pop_up_archive,50266,
031022_JeniferHixson_WhereTheresSmoke_MRH1007,Where There's Smoke,Jenifer Hixson,,https://themoth.box.com/s/lcd8p62l8g66etdo5m7ukyl880ia61u0,audio-library-for-web,pop_up_archive,50267,
031022_JonathanSantlofer_IveAlwaysBeenLucky_POD,I've Always Been Lucky,Jonathan Santlofer,,https://themoth.box.com/s/1hctwq3bc498vdbwone3igyay72er,audio-library-for-web,pop_up_archive,50268,
031022_KathyRussellRich_WhatGoesUp_MRH1407,What Goes Up,Kathy Russell Rich,,https://themoth.box.com/s/j3x54s9ukgha3udl92rkf72v9bq0bov0,audio-library-for-web,pop_up_archive,50382,
031022_LeonardLopate_TheRocketsRedGlare_POD,The Rocket's Red Glare,Leonard Lopate,,https://themoth.box.com/s/jl9iszp3w9gtpl7manb5ddcfyw56panh,audio-library-for-web,pop_up_archive,50383,
031217_BrianFinkelstein_JewishBloodIrishHeart_POD,"Jewish Blood, Irish Heart",Brian Finkelstein,,https://themoth.box.com/s/8rdag3borbcxpy5r0qow9l251zwa58fd,audio-library-for-web,pop_up_archive,50384,
031217_DanyelSmith_Foxy_MRH1502,Foxy,Danyel Smith,,https://themoth.box.com/s/ok1t24ao5yomvdvh34fpr8gynqvd0b9m,audio-library-for-web,pop_up_archive,50385,
031217_TomWeiser_AlternateIthacaTom_MRH1002,Alternate Ithaca Tom,Tom Weiser,,https://themoth.box.com/s/vq5bj4woet4vqpwdttn6d5rnvja7zh25,audio-library-for-web,pop_up_archive,50386,
040407_JamesBraly_GutInstinct_POD,Gut Instinct,James Braly,,https://themoth.box.com/s/30h1zw5blykl93kpyyzbh8eppma6gm68,audio-library-for-web,pop_up_archive,50387,
040407_SandiCarroll_IWasASpyInChinatown_POD,I Was A Spy In Chinatown,Sandi Carroll,,https://themoth.box.com/s/p5xum79ostjjih7l2d3dwg4rb8gfo0al,audio-library-for-web,pop_up_archive,50388,
040416_NathanielEaton_SurvivingMySurvivorAudition_POD,Surviving My Survivor Audition,Nathaniel Eaton,,https://themoth.box.com/s/abrup6zfewu1oqoit32n2gf8lr1vblwl,audio-library-for-web,pop_up_archive,50390,
040509_BlissBroyard_AshesInTheCloset_POD,Ashes In The Closet,Bliss Broyard,,https://themoth.box.com/s/4bfs4p66nj5ssbc5ll193ggmkua0xffj,audio-library-for-web,pop_up_archive,50389,
